127.0.0.1, 2013-10-07 17:58:35, GET, /, HTTP/1.1, 303, 0.038864
127.0.0.1, 2013-10-07 17:58:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.804046
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.056515
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000375
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000244
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000217
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.042331
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000418
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000398
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000442
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000318
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2013-10-07 17:58:41, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000466
127.0.0.1, 2013-10-07 17:58:46, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.153095
127.0.0.1, 2013-10-07 17:58:46, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.153646
127.0.0.1, 2013-10-07 17:58:46, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.253977
127.0.0.1, 2013-10-07 17:58:46, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000351
127.0.0.1, 2013-10-07 17:58:49, GET, /admin/default/index, HTTP/1.1, 200, 1.561226
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.073450
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000300
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.003794
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000656
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000394
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.030320
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.038027
127.0.0.1, 2013-10-07 17:58:51, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.039248
127.0.0.1, 2013-10-07 17:58:52, GET, /admin/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000315
127.0.0.1, 2013-10-07 17:58:52, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2013-10-07 17:58:52, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000201
127.0.0.1, 2013-10-07 17:58:52, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.025375
127.0.0.1, 2013-10-07 17:58:53, GET, /favicon.ico, HTTP/1.1, 400, 0.046047
127.0.0.1, 2013-10-07 17:58:56, POST, /admin/default/index, HTTP/1.1, 303, 0.141664
127.0.0.1, 2013-10-07 17:58:57, GET, /admin/default/site, HTTP/1.1, 200, 0.088447
127.0.0.1, 2013-10-07 17:58:58, GET, /admin/static/images/folder_locked.png, HTTP/1.1, 200, 0.004240
